time,open,high,low,close,Fast EMA,Slow EMA,Buy Signal,Sell Signal,Buy/Sell Ribbon,Buy/Sell Ribbon,Buy more signals,Sell more signals,Volume,Volume MA
2021-07-16T07:00:00+07:00,31878.485,32256.475,31028.84,31394.39,33008.79322,33987.71064,0,0,NaN,NaN,NaN,NaN,16812.50094,18035.16693
2021-07-17T07:00:00+07:00,31389.82,31946.51,31177.1675,31527.1125,32780.84234,33805.44411,0,0,NaN,NaN,NaN,NaN,10414.75146,17334.7837
2021-07-18T07:00:00+07:00,31519.79,32442.1125,31120.5,31784.15,32627.50505,33655.71862,0,0,NaN,NaN,NaN,NaN,8666.393145,16529.92726
2021-07-19T07:00:00+07:00,31789.0925,31888.68,30414.8975,30830.1625,32350.99081,33446.41817,0,0,NaN,NaN,NaN,NaN,18178.28982,16027.18586
2021-07-20T07:00:00+07:00,30831.7525,31059.4425,29292.725,29792.0175,31957.30261,33175.72182,0,0,NaN,NaN,NaN,NaN,29027.81669,16081.99389
2021-07-21T07:00:00+07:00,29794.42,32873.705,29501.505,32135.375,31984.69836,33098.65909,0,0,NaN,NaN,NaN,NaN,29220.01703,16415.19874
2021-07-22T07:00:00+07:00,32136.545,32608.6425,31721.8925,32291.6375,32031.91977,33038.87972,0,0,NaN,NaN,NaN,NaN,13905.17369,16213.60272
2021-07-23T07:00:00+07:00,32290.7725,33657.71,32003.775,33654.6525,32281.57096,33084.49251,0,0,NaN,NaN,NaN,NaN,14568.0842,16394.51199
2021-07-24T07:00:00+07:00,33655.2825,34527.68,33425.55,34289.215,32590.43927,33173.73122,0,0,NaN,NaN,NaN,NaN,14047.2997,16605.00291
2021-07-25T07:00:00+07:00,34291.6475,35446.245,33881.76,35428.2675,33027.02823,33340.73391,0,0,NaN,NaN,NaN,NaN,15389.07121,16514.75798
2021-07-26T07:00:00+07:00,35430.06,40570.17,35263.77,37268.7025,33679.5935,33631.69454,1,0,NaN,NaN,NaN,NaN,65802.65405,18925.67828
2021-07-27T07:00:00+07:00,37263.5325,39538.9575,36401.5625,39484.85,34572.70989,34065.26161,0,0,NaN,NaN,NaN,NaN,40775.13527,20199.95505
2021-07-28T07:00:00+07:00,39470.8,40925.1625,38799.6525,40026.4275,35411.74337,34506.82946,0,0,NaN,NaN,NaN,NaN,42767.26372,21094.89154
2021-07-29T07:00:00+07:00,40026.5025,40642.9475,39251.695,40029.9225,36122.23246,34915.94746,0,0,NaN,NaN,NaN,NaN,18118.6398,21303.80388
2021-07-30T07:00:00+07:00,40032.8975,42319.4675,38342.1175,42228.505,37061.65901,35457.61839,0,0,NaN,NaN,NaN,NaN,26281.90463,22111.22788
2021-07-31T07:00:00+07:00,42234.57,42406.4825,41051.2775,41493.865,37743.53685,35904.74777,0,0,NaN,NaN,NaN,NaN,14681.87327,22299.93095
2021-08-01T07:00:00+07:00,41497.9925,42604.7975,39425.6425,39867.6725,38070.32695,36198.29775,0,0,NaN,NaN,NaN,NaN,17226.65817,22373.77511
2021-08-02T07:00:00+07:00,39872.8,40451.5925,38684.4075,39156.295,38237.39896,36417.40865,0,0,NaN,NaN,NaN,NaN,19955.8447,22606.11748
2021-08-03T07:00:00+07:00,39153.2425,39789.0575,37619.825,38180.29,38228.61297,36547.99246,0,0,NaN,NaN,NaN,NaN,24160.68553,22928.62749
2021-08-04T07:00:00+07:00,38180.1375,39965.75,37497.5125,39728.1325,38459.30828,36783.55839,0,0,NaN,NaN,NaN,NaN,24719.16239,23235.96097
2021-08-05T07:00:00+07:00,39734.64,41421.1325,37316.515,40889.9125,38833.24739,37087.73277,0,0,NaN,NaN,NaN,NaN,42629.13027,24526.79244
2021-08-06T07:00:00+07:00,40889.615,43390.41,39888.4,42839.7175,39449.62741,37513.80571,0,0,NaN,NaN,NaN,NaN,30661.95377,25539.15255
2021-08-07T07:00:00+07:00,42863.7275,44746.2375,42415.8175,44624.2,40245.7155,38040.50158,0,0,NaN,NaN,NaN,NaN,32232.96367,26717.48108
2021-08-08T07:00:00+07:00,44626.305,45363.41,43262.64,43842.615,40799.08465,38470.28776,0,0,NaN,NaN,NaN,NaN,28005.21665,27208.82742
2021-08-09T07:00:00+07:00,43835.855,46502.635,42818.5,46291.175,41644.02163,39049.61274,0,0,NaN,NaN,NaN,NaN,33435.98772,27429.23597
2021-08-10T07:00:00+07:00,46285.605,46723.825,44650.37,45599.3,42252.52599,39534.77476,0,0,NaN,NaN,NaN,NaN,20997.88415,27018.12933
2021-08-11T07:00:00+07:00,45600.155,46770.0225,45361.235,45553.7625,42760.40853,39980.6257,0,0,NaN,NaN,NaN,NaN,19290.08544,27287.37492
2021-08-12T07:00:00+07:00,45553.4275,46219.2,43778.62,44424.67,43016.44876,40309.81417,0,0,NaN,NaN,NaN,NaN,21081.4436,27613.04289
2021-08-13T07:00:00+07:00,44415.9,47920.395,44254.8975,47838.4075,43758.28857,40867.48775,0,0,NaN,NaN,NaN,NaN,20182.81551,27919.81868
2021-08-14T07:00:00+07:00,47838.43,48178.0075,46030.8225,47115.0775,44274.71763,41330.27218,0,0,NaN,NaN,NaN,NaN,14145.65375,27857.6478
2021-08-15T07:00:00+07:00,47119.12,47400.905,45521.2425,47022.2825,44697.41992,41751.90257,0,0,NaN,NaN,NaN,NaN,12737.7183,25204.40102
2021-08-16T07:00:00+07:00,47021.725,48067.1475,45672.5575,45917.8125,44885.17262,42060.48849,0,0,NaN,NaN,NaN,NaN,17381.16703,24034.7026
2021-08-17T07:00:00+07:00,45916.9025,47173.3075,44412.1,44680.955,44853.75453,42254.59712,0,0,NaN,NaN,NaN,NaN,21336.11827,22963.14533
2021-08-18T07:00:00+07:00,44666.2,46026.9725,44224.0825,44714.75,44832.36922,42436.83067,0,0,NaN,NaN,NaN,NaN,17257.81665,22920.10417
2021-08-19T07:00:00+07:00,44722.4525,47081.7475,43948.2675,46764.05,45129.55088,42757.36543,0,0,NaN,NaN,NaN,NaN,18894.79171,22550.74853
2021-08-20T07:00:00+07:00,46764.96,49409.025,46650.9,49343.1725,45777.80036,43245.20299,0,0,NaN,NaN,2,NaN,20894.62819,22861.38627
2021-08-21T07:00:00+07:00,49345.1575,49814.37,48283.575,48872.535,46253.91338,43662.0424,0,0,NaN,NaN,NaN,NaN,15300.42043,22765.07439
2021-08-22T07:00:00+07:00,48873.46,49541.385,48078.0475,49288.8975,46720.83401,44078.84648,0,0,NaN,NaN,NaN,NaN,9702.357433,22252.40002
2021-08-23T07:00:00+07:00,49291.6275,50526.825,49033.21,49530.47,47153.0857,44482.67045,0,0,NaN,NaN,NaN,NaN,17627.07869,21925.71968
2021-08-24T07:00:00+07:00,49512.7875,49876.0275,47602.265,47713.01,47239.2279,44721.95486,0,0,NaN,NaN,NaN,NaN,18764.90395,21628.00676
2021-08-25T07:00:00+07:00,47688.3725,49265.45,47120.11,49000.2575,47510.15553,45038.86617,0,0,NaN,NaN,NaN,NaN,15396.54325,20266.37741
2021-08-26T07:00:00+07:00,49002.3075,49367.03,46299.31,46858.64,47409.92237,45173.66423,0,0,NaN,NaN,NaN,NaN,19096.44807,19688.10212
2021-08-27T07:00:00+07:00,46850.485,49186.165,46370.1425,49084.0325,47667.47778,45463.32114,0,0,NaN,NaN,NaN,NaN,15066.06813,18829.75735
2021-08-28T07:00:00+07:00,49085.14,49315.5225,48346.87,48925.0275,47860.94697,45719.74383,0,0,NaN,NaN,2,NaN,7340.53297,17796.52316
2021-08-29T07:00:00+07:00,48928.4425,49659.25,47799.8225,48800.0725,48005.42782,45947.91632,0,0,NaN,NaN,NaN,NaN,10641.16604,16656.78208
2021-08-30T07:00:00+07:00,48794.5675,48902.95,46864.1375,46995.615,47850.072,46025.52363,0,0,NaN,NaN,NaN,NaN,17416.34931,16477.70534
2021-08-31T07:00:00+07:00,46986.4875,48259.9,46710.0425,47140.64,47740.92861,46108.12485,0,0,NaN,NaN,NaN,NaN,18327.89645,16429.59589
2021-09-01T07:00:00+07:00,47124.365,49126.2375,46536.1875,48852.315,47911.91114,46311.39819,0,0,NaN,NaN,NaN,NaN,18890.56424,16320.05192
2021-09-02T07:00:00+07:00,48850.72,50391.7725,48619.1425,49282.96,48122.84173,46531.51388,0,0,NaN,NaN,2,NaN,20707.13019,16346.26765
2021-09-03T07:00:00+07:00,49285.4725,51042.5625,48354.035,50022.6475,48415.11954,46790.11637,0,0,NaN,NaN,NaN,NaN,21485.98722,16713.28433
2021-09-04T07:00:00+07:00,50026.1,50558.65,49391.555,49945.5725,48650.57384,47023.85386,0,0,NaN,NaN,NaN,NaN,11287.5703,16640.77693
2021-09-05T07:00:00+07:00,49951.6675,51898.5725,49504.4575,51791.6375,49133.8144,47377.02302,0,0,NaN,NaN,NaN,NaN,11594.41338,16351.43924
2021-09-06T07:00:00+07:00,51791.6625,52803.0075,51018.3175,52698.0575,49682.1595,47771.17372,0,0,NaN,NaN,NaN,NaN,16016.78214,16085.47244
2021-09-07T07:00:00+07:00,52701.2175,52935.0525,42582.695,46878.23,49250.78573,47705.02974,0,0,NaN,NaN,NaN,NaN,49043.33814,17674.74851
2021-09-08T07:00:00+07:00,46892.055,47376.9625,44430.98,46077.8625,48762.64369,47584.49884,0,0,NaN,NaN,NaN,NaN,28827.17035,18171.36744
2021-09-09T07:00:00+07:00,46063.6675,47403.8325,45520.355,46392.3625,48397.98505,47496.19244,0,0,NaN,NaN,NaN,NaN,20120.63905,18132.66799
2021-09-10T07:00:00+07:00,46385.2775,47033.715,44139.39,44853.1875,47852.63158,47300.4143,0,0,NaN,NaN,NaN,NaN,22386.72849,18486.98339
2021-09-11T07:00:00+07:00,44852.78,45994.2475,44747.26,45164.76,47439.11287,47142.21768,0,0,NaN,NaN,2,NaN,9103.117051,18457.02137
2021-09-12T07:00:00+07:00,45166.2275,46486.7825,44758.965,46038.8925,47223.69436,47060.48989,0,0,NaN,NaN,NaN,NaN,9388.942582,18045.11457
2021-09-13T07:00:00+07:00,46040.8925,46892.955,43409.975,44961.89,46875.72445,46905.03805,0,1,NaN,NaN,NaN,NaN,23490.37999,18281.38837
2021-09-14T07:00:00+07:00,44965.6,47270.7525,44691.12,47130.095,46914.85838,46921.70893,0,0,NaN,NaN,NaN,NaN,17989.83984,18411.0532
2021-09-15T07:00:00+07:00,47117.5275,48469.2325,46720.3525,48150.2275,47104.91517,47012.71031,1,0,NaN,NaN,NaN,NaN,16899.65768,18301.21368
